$$MCTS$$CALL1     301E                 /02/2003 03:36:04
050482TPHU653879221.802210       BSNBLBPTYKHL    0......
110484KHLU6206424 7.102210       BSNCLL---KHL    0......
110684KHLU5217466 8.102210       BSNCLL---KHL    0......
090484CAXU606823310.402210       BSNCLL---KHL    0......
110284KHLU522627810.602210       BSNCLL---KHL    0......
110608TTNU362658920.402210       BSNCLL---KHL    0......
090482TTNU228774720.402210       BSNCLL---KHL    0......
090608TTNU362766720.402210       BSNCLL---KHL    0......
110882KHLU521908920.402210       BSNCLL---KHL    0......
111082KHLU620643020.402210       BSNCLL---KHL    0......
110682GESU208165020.402210       BSNCLL---KHL    0......
110282CAXU612665920.402210       BSNCLL---KHL    0......
110482KHLU522661620.402210       BSNCLL---KHL    0......
090606TTNU203011022.902210       BSNCLL---KHL    0......
090604TTNU301138922.902210       BSNCLL---KHL    0......
110606CAXU619972123.102210       BSNCLL---KHL    0......
110604TTNU203485724.402210       BSNCLL---KHL    0......
090882TTNU361304627.502210D  8   BSNCLL---KHL    0......
090684TRIU161363227.502210D  8   BSNCLL---KHL    0......
090682TTNU331642827.502210D  8   BSNCLL---KHL    0......
091082TTNU296960227.502210D  8   BSNCLL---KHL    0......
071082TGHU2239291 5.302210D 6.1  HKGCLL---KHL    0......
130608TGHU2316989 9.002210       HKGCLL---KHL    0......
150402GSTU211387118.602210       HKGCLL---KHL    0......
130202GSTU252101918.602210       HKGCLL---KHL    0......
150608ITLU659273520.602210       HKGCLL---KHL    0......
130402ITLU648704620.602210       HKGCLL---KHL    0......
130808CRXU134400922.802210       HKGCLL---KHL    0......
130602TTNU330242424.102210       HKGCLL---KHL    0......
150808TTNU330435026.402210       HKGCLL---KHL    0......
150602CAXU604985026.402210       HKGCLL---KHL    0......
130804TTNU293188626.402210       HKGCLL---KHL    0......
150606CRXU217485926.402210       HKGCLL---KHL    0......
150804TGHU231615026.402210       HKGCLL---KHL    0......
150604TTNU346155526.402210       HKGCLL---KHL    0......
150806CAXU606478926.402210       HKGCLL---KHL    0......
150810CRXU121931026.402210       HKGCLL---KHL    0......
130606CAXU612664326.402210       HKGCLL---KHL    0......
130604CAXU611267626.402210       HKGCLL---KHL    0......
130806CLHU269029426.402210       HKGCLL---KHL    0......
130810TTNU330471026.402210       HKGCLL---KHL    0......
170202KHLU5226431 4.702210       LGBCLL---KHL    0......
190202FSCU333597022.402210       LGBCLL---KHL    0......
130406KHLU521847812.902210       SHACLL---KHL    0......
150202KHLU821377818.502210       SHACLL---KHL    0......
130204TGHU224204222.202210       SHACLL---KHL    0......
150404KHLU522307322.402210       SHACLL---KHL    0......
150204KHLU621584822.702210       SHACLL---KHL    0......
130404CAXU619958924.102210       SHACLL---KHL    0......
071086KHLU5215268 9.602210       BSNGYE---KHL    0......
210486CRXU213486112.502210       BSNGYE---KHL    0......
210286KHLU942699415.402210       BSNGYE---KHL    0......
110288KHLU522339220.402210       BSNGYE---KHL    0......
110286KHLU120208820.402210       BSNGYE---KHL    0......
230486KHLU120736720.402210       BSNGYE---KHL    0......
210086TGHU219633221.902210       BSNGYE---KHL    0......
210084TGHU231539122.702210       BSNGYE---KHL    0......
210284INBU332258722.702210       BSNGYE---KHL    0......
210082KHLU522246224.402210       BSNGYE---KHL    0......
210282KHLU522180424.402210       BSNGYE---KHL    0......
210202TGHU2210214 8.902210       HKGGYE---KHL    0......
210206KHLU820739512.002210       HKGGYE---KHL    0......
210204KHLU942121014.702210       HKGGYE---KHL    0......
