              REPORTE DE CATALOGO DE CODIGOS DE COMERCIO EXTERIOR  
                                 TIPOS DE EMBALAJE

---------------------------------------------------------------------------------------------
      Codigo       ¦                    Descripcion                                          
---------------------------------------------------------------------------------------------
AE 	              AEROSOL 
IB 	              EMBALAJE EXPOSITOR DE CARTON
IA 	              EMBALAJE EXPOSITOR DE MADERA
ID 	              EMBALAJE EXPOSITOR DE METAL
IC 	              EMBALAJE EXPOSITOR DE PLASTICO
IG 	              EMBALAJE FORRADO DE PAPEL
IF 	              EMBALAJE TUBULAR
VP 	              ENVASADO AL VACÍO
6P 	              ENVASE COMPUESTO DE RECIPIENTE DE VIDRIO
6H 	              ENVASE COMPUESTO RECIPIENTE DE PLASTICO
FT 	              ENVASE PARA ALIMENTOS (FOODTAINER)
RK 	              ESTANTE
MT 	              ESTERA
TS 	              FAJOS («TRUSS»)
PK 	              FARDO («PACKAGE»)
VI 	              FRASCA
FL 	              FRASCO
CV 	              FUNDA
SV 	              FUNDA DE ACERDO
CP 	              GARRAFA, PROTEGIDA
CO 	              GARRAFA, SIN PROTEGER
VQ 	              GAS LICUADO A GRANEL (A TEMPERATURA/PRESIÓN ANORMALES)
VG 	              GAS, A GRANEL (A 1031 MBAR A 15 °C)
DN  	              GENERADOR DE AEROSOL
BE 	              HAZ («BUNDLE»)
ST 	              HOJA
SP 	              HOJA REVESTIMIENTO DE PLASTICO
SZ 	              HOJAS, EN HAZ/ATADO/FAJO
JG 	              JARRA («JUG»)
CG 	              JAULA
SK 	              JAULA ABIERTA
DG 	              JAULA CHEP (COMMONWELTH HANDLING EQUIPMENT POOL
CW 	              JAULA/BIDON DESLIZANTE
QL 	              JERRICAM DE ACERO PARTE SUPERIOR AMOVIBLE
3A 	              JERRICAN DE ACERO
QK 	              JERRICAN DE ACERO PARTE SUPERIOR FIJA
3H 	              JERRICAN DE PLASTICO
QN 	              JERRICAN DE PLASTICO PARTE SUPERIOR AMOVIBLE
QM 	              JERRICAN DE PLASTICO PARTE SUPERIOR FIJA
JC 	              JERRICÁN, RECTANGULAR
JY 	              JERRICÁN,CILÍNDRICO
SB 	              LAMINA CALANDRADE (SLAB)
CI 	              LATA
CD 	              LATA CON ASA Y PICO
CX 	              LATA, CILÍNDRICA
CA 	              LATA, RECTANGULAR
CC 	              LECHERA
IN 	              LINGOTE
IZ 	              LINGOTES, EN HAZ/ATADO/FAJO
CZ 	              LONA
LT 	              LOTE
SM 	              LÁMINA
SL 	              LÁMINA DESLIZADORA («SLIPSHEET»)
VL 	              LÍQUIDO, A GRANEL
SU 	              MALETA
SY 	              MANGA
FR 	              MARCO
CE 	              NASA
NF 	              NO EMBALADO NI ACONDICIONADO UNIDAD UNICA
NG 	              NO EMBALADO NI ACONDICIONADO VARIAS UNIDADES
UC 	              NO ENJAULADO (ANIMAL)
PX 	              PALETA
PB 	              PALETA CAJA (POLLET BOX)
PE 	              PALETA MODULAR, ANILLOS DE 80 X 120
PD 	              PALETA MODULAR, AROS DE 80 X 200 CM
AF 	              PALETA MODULKAR, ANILLOS DE 80 X 60 CM
AH 	              PALETA, 200X 220 CM
AG 	              PALETA, FUNDA TERMORETRACTIL
PC 	              PAQUETE («PARCEL»)
SI 	              PATIN, RAMPA (SKID)
FP 	              PELÍCULA PLÁSTICA («FILMPACK»)
SW 	              PELÍCULA TERMORRETRÁCTIL
AB 	              RECIPIENTE DE CARTON
AD 	              RECIPIENTE DE MADERA
MR 	              RECIPIENTE DE METAL
AC 	              RECIPIENTE DE PAPEL
GR 	              RECIPIENTE DE VIDRIO
MW 	              RECIPIENTE FORRADO DE PLASTICO
ZP 	              RECIPIENTE INTERMEDIO DE MATERIAL COMPUESTO CON RECIPIENTE INTERIOR DE PLASTICO FLEXIBLE PRESURIZADO
ZN 	              RECIPIENTE INTERMEDIO DE MATERIAL COMPUESTO CON RECIPIENTE INTERIOR DE PLASTICO RIGIDO PRESURIZADO
WA 	              RECIPIENTE INTERMEDIO PARA GRANELES 
ZX 	              RECIPIENTE INTERMEDIO PARA GRANELES CONTRACHAPADO
WY 	              RECIPIENTE INTERMEDIO PARA GRANELES CONTRACHAPADO CON FORRO
WC 	              RECIPIENTE INTERMEDIO PARA GRANELES DE ACERO
WG 	              RECIPIENTE INTERMEDIO PARA GRANELES DE ACERO PARA PRESIONES SUPERIORES A 10 KPA (0,1 BAR)
ZT 	              RECIPIENTE INTERMEDIO PARA GRANELES DE CARTON
ZW 	              RECIPIENTE INTERMEDIO PARA GRANELES DE MADERA
WU 	              RECIPIENTE INTERMEDIO PARA GRANELES DE MADERA CON FORRO
ZY 	              RECIPIENTE INTERMEDIO PARA GRANELES DE MADERA RECONSTRUIDA
WZ 	              RECIPIENTE INTERMEDIO PARA GRANELES DE MADERA RECONSTRUIDA CON FORRO
ZS 	              RECIPIENTE INTERMEDIO PARA GRANELES DE MATERIAL COMPUESTO
ZV 	              RECIPIENTE INTERMEDIO PARA GRANELES DE METAL DISTINTO DEL ACERO
ZA 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PAPEL MULTICAPA
ZC 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PAPEL MULTICAPA HIDROFUGO
WS 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PELICULA PLASTICA
AA 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO
ZH 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO CON ELEMENTOS ESTRUCTURALES 
ZG 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO CON ELEMENTOS ESTRUCTURALES PRESURIZADO
ZJ 	              RECIPIENTE INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO EXENTO PRESURIZADO
WQ 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TEJIDO DE PLASTICO CON FORRO
WP 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TEJIDO DE PLASTICO CON REVESTIMIENTO INTERIOR
WR 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TEJIDO DE PLASTICO CON REVESTIMIENTO INTERIOR Y FORRO
WN 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TEJIDO DE PLASTICO SIN REVESTIMIENTO INTERIOR NI FORRO
WW 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TELA CON FORRO
WV 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TELA CON REVESTIMIENTO INTERIOR
WX 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TELA CON REVESTIMIENTO INTERIOR Y FORRO
WT 	              RECIPIENTE INTERMEDIO PARA GRANELES DE TELA SIN REVESTIMIENTO INTERIOR NI FORRO
ZU 	              RECIPIENTE INTERMEDIO PARA GRANELES FLEXIBLES
WK 	              RECIPIENTE INTERMEDIO PARA GRANELES LIQUIDOS DE ACERO
WL 	              RECIPIENTE INTERMEDIO PARA GRANELES LIQUIDOS DE ALUMINIO
ZK 	              RECIPIENTE INTERMEDIO PARA GRANELES LIQUIDOS DE PLASTICO RIGIDO EXENTO
WM 	              RECIPIENTE INTERMEDIO PARA GRANELES LIQUIDOS METALICO
WF 	              RECIPIENTE INTERMEDIO PARA GRANELES METALICOS
WJ 	              RECIPIENTE INTERMEDIO PARA GRANELES METALICOS PARA PRESIUONES SUPERIORES A 10 KPA (0,1 BAR)
ZM 	              RECIPIENTE INTERMEDIO PARA GRANELES SOLIDOS DE MATERIAL COMPUESTO DE PLASTICO FLEXIBLE
ZD 	              RECIPIENTE INTERMEDIO PARA GRANELES SOLIDOS DE PLASTICOS RIGIDO CON ELEMENTOS EXTRUCTURALES
ZF 	              RECIPIENTE INTERMEDIO PARA GRANELES SOLIDOS DE PLASTICOS RIGIDO EXENTO
WD 	              RECIPIENTE INTERMEDIO PARA GRANELESDE ALUMINIO
WH 	              RECIPIENTE INTERMEDIO PARA GRANELESDE ALUMINIO PARA PRESIONES SUPERIORES A 10 KPA (0,1 BAR)
PR 	              RECIPIENTE PLASTICO
NT 	              RED («NET»)
UN 	              RED TUBULAR DE PLASTICO
NV 	              RED TUBULAR DE TELA
BT 	              ROLLO («BOLT»)
RO 	              ROLLO («ROLL»)
SA 	              SACO
ZB 	              SACO DE GRAN TAMAÑO
5M 	              SACO DE PAPEL
XJ 	              SACO DE PAPEL MULTICAPA
XK 	              SACO DE PAPEL MULTICAPA HIDROFUGO
MS 	              SACO DE PAREDES MÚLTIPLES
XD 	              SACO DE PELICULA DE PLASTICO
RT 	              SACO DE RED («REDNET»)
XB 	              SACO DE TEJIDO DE PLASTICO ESTANCO AL POLVO
XC 	              SACO DE TEJIDO DE PLASTICO HIDROFUGO
XA 	              SACO DE TEJIDO DE PLASTICO SIN REVESTIMIENTO INTERIOR NI FORRO
5H 	              SACO DE TEJIDO PLASTICO
5L 	              SACO DE TELA
XG 	              SACO DE TELA ESTANCO AL POLVO
JT 	              SACO DE YUTE
XF 	              SACO DETELA SIN REVESTIMIENTO NI FORRO
FX 	              SACO FLEXIBLE
PO 	              SAQUITO («POUCH»)
NE 	              SIN ENVASAR O SIN EMPAQUETAR
NA  	              SIN OBJETO
EN 	              SOBRE
SX 	              SURTIDO
VY 	              SÓLIDO A GRANEL, PARTÍCULAS FINAS (POLVOS)
VO 	              SÓLIDO A GRANEL, PARTÍCULAS GRANDES (NÓDULOS)
VR 	              SÓLIDO A GRANEL, PARTÍCULAS GRANULARES (GRANOS)
BD 	              TABLA
BY 	              TABLA, EN HAZ/ATADO/FAJO
PZ 	              TABLONES, EN HAZ/ATADO/FAJO O TUBOS («PIPES»), EN HAZ/ATADO/FAJO
PN 	              TABLÓN
DR 	              TAMBOR
VA 	              TANQUE
TY 	              TANQUE, CILÍNDRICO
TK 	              TANQUE, RECTANGULAR
JR 	              TARRO
TO 	              TONEL
2C 	              TONEL DE MADERA
QH 	              TONEL DE MADERA CON BITOQUE
QJ 	              TONEL DE MAERA DE PARTE SUPERIOR FIJA
LG 	              TRONCO
LZ 	              TRONCO, EN HAZ/ATADO/FAJO
PI 	              TUBO («PIPE»)
TU 	              TUBO («TUBE»)
TV 	              TUBO CON BOQUILLA
TD 	              TUBO, PLEGABLE («TUBE, COLLAPSIBLE»)
TZ 	              TUBOS («TUBES»), EN HAZ/ATADO/FAJO
PV 	              TUBOS EN HAZ/ATADO/FAJO
RD 	              VARILLA
RZ 	              VARILLAS, EN HAZ/ATADO/FAJO
PT 	              VASIJA
GI 	              VIGA
GZ 	              VIGA, EN HAZ/ATADO/FAJO
